"NAME","GHGRP_ID","ADDRESS","LATITUDE","LONGITUDE","CITY","COUNTY","STATE","ZIP","GHG_QUANTITY"
"AMERICAN GYPSUM COMPANY",1007404,"740 Highway #6",39.66067,-106.939169,"GYPSUM","EAGLE","CO",81637,55649
"ANHEUSER BUSCH INCORPORATED FORT COLLINS BREWERY",1003352,"2351 BUSCH DRIVE",40.619722,-105.006111,"FORT COLLINS","LARIMER","CO",80524,51003
"Arapahoe Combustion Turbine Facility",1001360,"2601 SOUTH PLATTE RIVER ROAD",39.6692,-105.0018,"DENVER","Denver","CO",80223,58691
"Arkansas Loop & Simpson Treating Plants",1001760,,37.0532,-107.7855,"DURANGO","La Plata","CO",81303,75195
"Atmel Corporation",1009792,"1150 E. Cheyenne Mountain Boulevard",38.789076,-104.805626,"Colorado Springs","EL PASO","CO",80906,16284
"Avago Technologies",1008734,"4380 Ziegler Road",40.5236,-105.02021,"Fort Collins","LARIMER COUNTY","CO",80525,10858
"BARGATH, INC- HYRUP PROD FACILITY",1002944,,39.369139,-108.06329,"PARACHUTE","Garfield","CO",81635,16342
"BARGATH, INC.- PARACHUTE",1002943,,39.487297,-108.111356,"PARACHUTE, 3.4 MI NW OF","Garfield","CO",81635,147772
"BROADACRE LANDFILL - FOUNTAIN LANDFILL",1006464,"10000 SQUIRREL CREEK RD",38.679516,-104.628161,"FOUNTAIN","EL PASO","CO",80817,11
"Bargath LLC - Crawford Trail CS",1002945,,39.503457,-108.184214,"Parachute","Garfield","CO",81635,28499
"Big Hole Compressor Station",1011077,"37607 County Road 7",40.768594,-107.763621,"Craig","MOFFAT COUNTY","CO",81625,2827
"Blue Spruce Energy Center",1000141,"1751 N POWHATON RD",39.7436,-104.68,"AURORA","Adams","CO",80019,266600
"Bondad Compressor Station",1001759,,37.0881,-107.8829,"DURANGO","La Plata","CO",81301,20305
"Brush Power Projects",1001224,"1500 S CLAYTON",40.2415,-103.631,"BRUSH","Morgan","CO",80723,22696
"CARESTREAM HEALTH INC.",1007717,"2000 HOWARD SMITH AVE WEST",40.4584,-104.87399,"WINDSOR","WELD COUNTY","CO",80550,30999
"CARGILL MEAT SOLUTIONS CORPORATION",1000357,"1505 EAST BURLINGTON AVENUE",40.2469,-103.7756,"FORT MORGAN","MORGAN COUNTY","CO",80701,26332
"CEMEX CONSTRUCTION MATERIALS SOUTH LLC",1007877,"5134 UTE HIGHWAY",40.202236,-105.236697,"LYONS","BOULDER","CO",80540,4161
"CF & I STEEL L P/ DBA ROCKY MOUNTAIN STEEL MILLS",1003902,"2100 SOUTH FREEWAY",38.232627,-104.607257,"PUEBLO","PUEBLO","CO",81004,151967
"CIG Station 5320 Fort Lupton, CO",1010489,"15732 Weld County Road 16",40.130922,-104.758947,"Ft. Lupton","WELD","CO",80261,24136
"CIG Station 5560 Kit Carson, CO",1001994,"3073 US HIGHWAY 287",38.413345,-102.759485,"EADS","KIOWA","CO",81036,17565
"CIG Station 5610 Greasewood, CO",1008151,"5200 County Road 3",39.854648,-108.105434,"Rifle","GARFIELD","CO",81650,27167
"CIG Station 5850 Cheyenne, CO",1002127,"65657 Highway 85",40.908951,-104.892167,"CARR","WELD","CO",80612,55705
"CIG Station 5950 Watkins, CO",1002061,"24650 East Smith Road",39.745283,-104.698908,"AURORA","ADAMS","CO",80019,31449
"COLORADO STATE UNIVERSITY",1004581,"6030 Campus Delivery",40.57,-105.09,"FORT COLLINS","LARIMER","CO",80523,42745
"Callahan Compressor Station",1002873,,39.468423,-108.08675,"PARACHUTE","Garfield","CO",81635,26024
"Central Treating Facility",1004824,,39.8338,-108.2957,"Meeker","Rio Blanco","CO",81641,38973
"Cherokee",1007207,"6198 FRANKLIN ST",39.8078,-104.9648,"DENVER","Adams","CO",80216,3058144
"Clough Compressor Station",1003022,,39.51861,-107.889912,"RIFLE","Garfield","CO",81650,24413
"Colorado Energy Nations Company LLC (Golden Facility)",1003568,"1003 Vasquez Street",39.760555,-105.215,"GOLDEN","JEFFERSON","CO",80401,379090
"Colorado Springs Landfill",1008019,"1010 Blaney Road",38.847491,-104.572053,"Colorado Springs","EL PASO","CO",80929,479
"Comanche (470)",1001462,"2005 LIME RD",38.2081,-104.5747,"PUEBLO","Pueblo","CO",81006,8424502
"Compressor Station 601",1002406,"37500 County Rd 78",40.994389,-102.855976,"Peetz","LOGAN","CO",80747,56412
"Conn Creek Compressor Station",1007414,,39.4819,-108.2479,"De Beque","Garfield","CO",81630,32910
"Cottonwood Point Compressor Station",1003011,,39.481874,-107.991952,"PARACHUTE","Garfield","CO",81635,30408
"Coyote Gulch Treating Plant",1001946,,37.0141,-108.0615,"DURANGO","La Plata","CO",81301,41543
"Craig",1001008,"2101 S RANNEY",40.4627,-107.5912,"CRAIG","Moffat","CO",81626,8213834
"DEBEQUE GAS PROCESSING FACILITY",1011635,,39.3269,-108.2431,"De Beque","Mesa","CO",81630,20377
"DENVER ARAPAHOE DISPOSAL SITE-A WASTE MANAGEMENT COMPANY",1007709,"3500 SOUTH GUN CLUB ROAD",39.64566,-104.70914,"AURORA","ARAPAHOE COUNTY","CO",80018,909
"DENVER INTERNATIONAL AIRPORT",1004796,"8500 PENA BOULEVARD",39.83425,-104.70436,"DENVER","DENVER","CO",80249,27704
"ENCANA OIL AND GAS USA - DRAGON TRAIL GAS PLANT - 08-103-00036",1003447,"3606 COUNTY ROAD 116",39.859473,-108.915996,"RANGELY","RIO BLANCO","CO",81648,18773
"ENTERPRISE COMPRESSOR STATION",1002666,"10002 Weld County Road 59",40.191,-104.4877,"LaSalle","WELD","CO",80645,47367
"EPNG Station 6210 Bondad",1002116,"2227 County Road 318",37.096339,-107.769381,"Ignacio","LA PLATA","CO",81137,40486
"Eagle Valley Clean Energy",1011681,"10775 HWY 6",39.646803,-106.940343,"Gypsum","EAGLE COUNTY","CO",81637,28
"FORT CARSON USARMY",1007910,"1626 Evans Street, Bldg 1219",38.76408,-104.79509,"Fort Carson","EL PASO","CO",80913,55972
"FRONT RANGE ENERGY",1006942,"31375 GREAT WESTERN DRIVE",40.455978,-104.857553,"WINDSOR","WELD","CO",80550,36283
"Florida River Gas Processing Facility",1003223,"2906 CR 307",37.15639,-107.77978,"Durango","LA PLATA","CO",81303,61078
"Fort Lupton Compressor Station",1001977,,40.1434,-104.7515,"Brighton","Weld","CO",80601,182229
"Fort St. Vrain",1001029,"16805 WELD CR 19 12",40.2461,-104.8742,"PLATTEVILLE","Weld","CO",80651,1496881
"Fountain Valley Power Plant",1007383,"18693 Boca Raton Heights",38.5569,-104.6875,"Fountain","El Paso","CO",80817,184636
"Frank Knutson Station",1000061,"13501 POWHATEN ROAD",39.9414,-104.6817,"COMMERCE CITY","Adams","CO",80022,4849
"Fredrick Compressor Station",1002206,,40.0573,-104.8852,"Brighton","Weld","CO",80601,52200
"Front Range Power Plant",1001400,"6615 GENERATION DRIVE",38.6281,-104.7069,"FOUNTAIN","El Paso","CO",80817,758913
"GCC RIO GRANDE INC",1003067,"3372 LIME ROAD",38.1507,-104.62595,"PUEBLO","PUEBLO","CO",81004,965
"GREELEY GAS PLANT",1006310,"3009 WEST 49TH STREET",40.38812,-104.76003,"GREELEY","WELD COUNTY","CO",80634,32251
"GRG - EAST MAMM CREEK CS",1003630,,39.4894897,-107.7232517,"RIFLE, 2.0 MI SE OF","Garfield","CO",81650,28886
"GRG - HIGH MESA CS",1006331,,39.395581,-108.0590714,"PARACHUTE","Garfield","CO",81635,26475
"GRG - HUNTER MESA CS",1006001,,39.4686107,-107.7153515,"RIFLE, 3.3 MI SE OF","Garfield","CO",81650,33019
"GRG - MAMM CREEK CS",1006003,,39.4894897,-107.7232517,"RIFLE","Garfield","CO",81650,15199
"GRG - PUMBA CS",1006004,,39.4649163,-107.7564733,"RIFLE, 3.6 MI S OF","Garfield","CO",81650,30802
"HOLMES MESA CMP STN",1003252,,39.467984,-107.926867,"RULISON","Garfield","CO",81650,44975
"Hambert Compressor Station",1011533,"18450 Weld County Road 35",40.2696,-104.724297,"Gilcrest","WELD","CO",80623,31186
"Hayden",1001466,"12795 E YUTE",40.4856,-107.185,"HAYDEN","Routt","CO",81639,3089050
"Hayes Gulch Compressor Station",1003014,,39.466732,-108.051398,"PARACHUTE","Garfield","CO",81635,25845
"Heath Compressor Station",1002936,,39.497639,-107.884743,"RIFLE","Garfield","CO",81650,37520
"Holcim (US) Inc. - Portland Plant",1003008,"3500 Highway 120",38.386936,-105.039244,"Florence","FREMONT","CO",81226,931
"Hudson Compressor Station",1002062,,40.2235,-104.7196,"Brighton","Weld","CO",80601,72096
"IGNACIO GAS PLANT",1002532,"3746 CR 307",37.144682,-107.784839,"DURANGO","LA PLATA","CO",81301,245418
"J.M. Shafer Generating Station",1000559,"6811 Weld County Road #31",40.0979,-104.7745,"FORT LUPTON","Weld","CO",80621,339265
"JBS Swift Beef Company - Greeley Plant",1004022,"800 North 8th Avenue",40.44278,-104.69233,"Greeley","WELD COUNTY","CO",80632,55182
"Jackrabbit Compressor Station",1005036,"13064 Garden Gulch Rd.",39.485628,-108.095435,"Parachute","GARFIELD","CO",81635,22232
"Koch Meeker Gas Plant",1010030,"929 Penny Dr",39.977742,-107.763621,"Meeker","RIO BLANCO COUNTY","CO",81641,15908
"LA PLATA \A\ CMP STN",1005882,"3775 COUNTY ROAD 307",37.143579,-107.786771,"DURANGO","LA PLATA","CO",81301,17943
"LADDER CREEK HELIUM PLANT",1002352,"41707 COUNTY ROAD P",39.014999,-102.413156,"CHEYENNE WELLS","CHEYENNE","CO",80810,32979
"LARIMER COUNTY LANDFILL",1005928,"5887 SOUTH TAFT HILL ROAD",40.49803,-105.12032,"FORT COLLINS","LARIMER COUNTY","CO",80526,43
"LINDE LLC CORTEZ PLANT",1007715,"14207  RD G",37.327457,-109.017397,"CORTEZ","MONTEZUMA","CO",81321,916
"LUCERNE GAS PLANT",1002355,"31495 COUNTY ROAD 43",40.457201,-104.664686,"GREELEY","WELD","CO",80631,74450
"Leprino Foods, Greeley",1006479,"1302 1 st Avenue",40.416952,-104.675853,"Greeley","WELD","CO",80631,38254
"Limon Generating Station",1000060,"48303 STATE ROAD 71",39.2038,-103.7005,"LIMON","Lincoln","CO",80828,20244
"MARLA COMPRESSOR STATION",1006309,,40.2767,-104.5475,"KERSEY","Weld","CO",80644,29247
"MEWBOURN GAS PLANT",1006131,"18455 WELD COUNTY RD 35",40.266583,-104.734944,"GILCREST","WELD","CO",80623,158519
"MVS Compressor Station",1001716,"69861 Highway 330E",39.277176,-107.74001,"Collbran","MESA","CO",81624,15501
"Manchief Generating Station",1001327,"14936 COUNTY ROAD 24",40.2201,-103.679,"BRUSH","Morgan","CO",80723,108886
"Martin Drake",1001465,"700 S CONEJOS ST",38.8244,-104.8331,"COLORADO SPRINGS","El Paso","CO",80903,1650120
"Mead Compressor Station",1011898,,40.18097,-104.871885,"Platteville","Weld","CO",80651,25693
"Meeker Compressor Station",1002912,"26100 CR 5",39.891773,-108.290437,"Rifle","GARFIELD","CO",81650,23957
"Meeker Gas Plant",1004822,"27991 County Rd 5",39.910727,-108.294316,"Rifle","GARFIELD","CO",81650,105809
"Midway Landfill",1007863,"8925 Rancho Colorado Boulevard",38.547492,-104.661847,"Fountain","PUEBLO","CO",80817,240
"NORTH WELD SANITARY LANDFILL",1007880,"40000 WELD COUNTY RD 25",40.58156,-104.8318,"AULT","WELD","CO",80610,3254
"Natural Soda",1010576,"3200 CR31",39.886477,-108.332665,"Rifle","RIO BLANCO COUNTY","CO",81650,50798
"Nucla",1007676,"30739 DD 30 ROAD",38.2387,-108.5083,"NUCLA","Montrose","CO",81424,543808
"O'Connor Gas Plant",1010119,,40.352206,-104.587772,"LaSalle","Weld","CO",80645,42726
"OWENS-BROCKWAY GLASS CONTAINER INC PLANT 28",1001975,"11133 Eastman Park Drive",40.461452,-104.849165,"Windsor","WELD COUNTY","CO",80550,60748
"Outlaw Compressor Station",1001947,,37.1745,-107.7786,"DURANGO","La Plata","CO",81303,8231
"Oxbow Mining, LLC",1009623,"3737 Highway 133",38.926289,-107.470007,"Somerset","GUNNISON COUNTY","CO",81434,14989
"PIONEER NAT RES - BURRO CANYON CS",1002533,,37.15515,-104.66506,"COKEDALE 2.3 MI. W OF","Las Animas","CO",81082,31704
"PIONEER NAT RES - TAMBURELLI CS",1002535,,37.2532,-104.657,"COKEDALE, 7.7 MI N OF","Las Animas","CO",81082,36914
"PIONEER NAT RESOURCES - COTTONTAIL PASS",1006559,,37.21847,-104.7824,"COKEDALE","Las Animas","CO",81082,43277
"PIONEER NAT RESOURCES - WET CANYON CS",1002534,,37.1519,-104.85782,"COKEDALE","Las Animas","CO",81082,40769
"PLAINS END Generating Station",1003138,"8950 HIGHWAY 93",39.872093,-105.240616,"Arvada","JEFFERSON","CO",80007,23660
"PLATTEVILLE GAS PLANT",1005678,"13675 WELD COUNTY ROAD 34",40.232045,-104.798221,"PLATTEVILLE","WELD","CO",80651,48486
"PUBLIC SERVICE CO DENVER STEAM PLT",1002817,"1875 DELGANY STREET (19TH AND DELGANY)",39.75583,-104.99924,"DENVER","DENVER","CO",80202,61069
"Pawnee",1001048,"14940 County Road 24",40.2217,-103.6803,"Brush","Morgan","CO",80723,4119217
"Plateville Compressor Station",1006880,,40.2235,-104.7196,"Brighton","Weld","CO",80601,36807
"Pueblo Airport Generating Station",1000558,"400 N 27th Lane",38.322,-104.533,"Pueblo","Pueblo","CO",81001,541705
"Pump Canyon Compreesor Station",1011983,,37.045517,-107.679114,"Durango","La Plata","CO",81301,27505
"RIFLE CMP STN",1006929,,39.531599,-107.829371,"RIFLE","Garfield","CO",81650,29886
"ROCKY MOUNTAIN BOTTLE COMPANY",1003465,"10619 W 50TH AVE",39.78741,-105.11498,"WHEAT RIDGE","JEFFERSON COUNTY","CO",80033,57199
"ROGGEN GAS PLANT",1002031,"35409 WELD COUNTY ROAD 18",40.117556,-104.387444,"ROGGEN","WELD","CO",80652,41303
"Rabbit Brush Compressor Station",1002946,,39.478517,-108.021664,"Parachute","Garfield","CO",81635,24300
"Rangely Gas Plant",1009244,"100 Chevron Road",40.1064831,-108.8670246,"Rangely",,"CO",81648,10826
"Rawhide Energy Station",1001062,"2700 East County Road 82",40.8611,-105.0206,"Wellington","Larimer","CO",80549,1881687
"Ray D Nixon",1001195,"6598 RAY NIXON RD",38.6306,-104.7056,"FOUNTAIN","El Paso","CO",80817,1555825
"Rocky Mountain Energy Center",1000271,"6211 WELD COUNTY RD 51",40.0911,-104.5947,"KEENESBURG","Weld","CO",80643,827194
"Rocky Turbine Compressor Station",1011877,,40.4639,-104.4039,"Kersey","Weld","CO",80624,26274
"Ryan Gulch Compressor Station",1002941,,39.8981,-108.3347,"MEEKER, 23.3 MI W OF","Rio Blanco","CO",81641,33802
"SAMSON RESOURCES SPRING CREEK CS",1001067,,37.092635,-107.576296,"IGNACIO","La Plata","CO",81137,35474
"SOUTH IGNACIO CDP",1006519,,37.054116,-107.625701,"IGNACIO","La Plata","CO",81137,26657
"SPINDLE GAS PROCESSING PLANT",1002415,"9101 WELD COUNTY RD 14",40.088944,-104.884194,"FT LUPTON","WELD","CO",80621,42617
"STERLING ETHANOL, LLC",1006055,"450 ANGUS AVENUE",40.6375,-103.190556,"STERLING","LOGAN","CO",80751,53325
"SUMMIT COUNTY LANDFILL",1005695,"639 LANDFILL RD",39.608712,-105.997922,"DILLON AREA","SUMMIT","CO",80435,20
"SUNCOR ENERGY (USA) COMMERCE CITY REFINERY",1007923,"5801 BRIGHTON BLVD",39.805556,-104.944444,"COMMERCE CITY","ADAMS","CO",80022,558340
"Sambrito Compressor Station",1001763,,37.0445,-107.4935,"Durango","La Plata","CO",81301,42844
"Spindle Hill Energy Center",1000486,"6335 WELD COUNTY RD 19",40.0914,-104.8819,"Fort Lupton","Weld","CO",80621,109020
"St. Vrain Compressor Station",1011904,,40.23199641,-104.88326806,"Platteville","Weld","CO",80651,27731
"Sterling Energy Investments LLC Centennial Gas Plant",1011986,"47285 County Road 100",40.711642,-104.285426,"Briggsdale",,"CO",80611,25190
"Story Gulch Compressor Station",1010414,"370 17th Street Suite 1700",39.74346,-104.98796,"Denver","DENVER COUNTY","CO",80202,65389
"Twentymile Mine",1001682,"29515 Route County Road #27",40.334417,-107.081476,"Oak Creek","ROUTT COUNTY","CO",80467,3428
"Twin Landfill Corporation",1006834,"20650 County Road 205",40.474444,-107.04,"Milner","ROUTT COUNTY","CO",80487,11
"US Air Force Academy",1005492,"8120 Edgerton Drive",38.990611,-104.860572,"USAFA","EL PASO","CO",80840,29965
"University of Colorado Boulder - Utility Services",1002459,,40.0076,-105.2693,"Boulder","Boulder","CO",80309,31528
"Valmont",1001463,"1800 N 63RD ST",40.0195,-105.202,"BOULDER","Boulder","CO",80302,1110684
"Vanguard - BAILEY COMPRESSOR STATION",1003047,,39.5075,-107.6464,"Silt","Garfield","CO",81652,52460
"Vanguard - MAMM CREEK COMPRESSOR STATION",1003230,,39.4917,-107.7089,"Silt","Garfield","CO",81652,7758
"Vollmar Compressor Station",1011910,,40.14429,-104.85966,"Fort Lupton","Weld","CO",80621,33729
"WESTERN AGGREGATES INCORPORATED",1004379,"11728 HIGHWAY 93",39.90969,-105.2386,"BOULDER","JEFFERSON COUNTY","CO",80303,20286
"WESTERN SUGAR COOP",1001823,"18317 HIGHWAY 144",40.26269,-103.80612,"FORT MORGAN","MORGAN","CO",80701,150687
"WIC Station 7938 Snake River, CO",1008148,"18640 County Road 4",40.97969,-107.71353,"Craig","MOFFAT COUNTY","CO",81625,28615
"WILLOW CREEK GAS PLANT",1002319,"20219 County Road 5",39.977742,-107.763621,"Rifle","RIO BLANCO","CO",81650,156815
"Wattenberg Gas Plant",1003254,"1909 Powhaton Road",39.746431,-104.681535,"Aurora","ADAMS","CO",80019,54436
"West Elk Mine",1010310,"5174 Highway 133",38.92823,-107.44687,"Somerset","GUNNISON COUNTY","CO",81434,7292
"XTO - HILL RANCH #1",1005401,,37.0588,-104.8765,"COKEDALE","Las Animas","CO",81091,24358
"XTO - PICEANCE CREEK",1002673,,39.8933,-108.1947,"MEEKER","Rio Blanco","CO",81641,6933
"YUMA ETHANOL, LLC",1002083,"38480 COUNTY ROAD H",40.13,-102.68,"YUMA","YUMA","CO",80759,49192
"Zuni",1001464,"1335 ZUNI ST",39.7369,-105.0169,"DENVER","Denver","CO",80204,23647
